MVP Rank Real,MVP Share Real,MVP Rank SVM,MVP Share SVM,MVP Rank Elastic Net,MVP Share Elastic Net,MVP Rank Random Forest,MVP Share Random Forest,MVP Rank AdaBoost,MVP Share AdaBoost,MVP Rank Gradient Boosting,MVP Share Gradient Boosting,MVP Rank LGBM,MVP Share LGBM,Season
Giannis Antetokounmpo,0.952,Giannis Antetokounmpo,0.711,Giannis Antetokounmpo,0.513,Giannis Antetokounmpo,0.635,Giannis Antetokounmpo,0.818,Giannis Antetokounmpo,0.691,Giannis Antetokounmpo,0.837,2019-20
LeBron James,0.746,James Harden,0.655,James Harden,0.422,James Harden,0.624,James Harden,0.433,James Harden,0.69,James Harden,0.481,2019-20
James Harden,0.363,LeBron James,0.304,LeBron James,0.331,Luka Dončić,0.246,LeBron James,0.311,Kawhi Leonard,0.303,LeBron James,0.285,2019-20
Giannis Antetokounmpo,0.932,Giannis Antetokounmpo,0.776,James Harden,0.567,James Harden,0.67,Giannis Antetokounmpo,0.795,James Harden,0.747,Giannis Antetokounmpo,0.783,2018-19
James Harden,0.768,James Harden,0.634,Giannis Antetokounmpo,0.519,Giannis Antetokounmpo,0.638,James Harden,0.686,Giannis Antetokounmpo,0.74,James Harden,0.762,2018-19
Paul George,0.352,Nikola Jokić,0.286,Nikola Jokić,0.344,Nikola Jokić,0.253,Nikola Jokić,0.503,Nikola Jokić,0.358,Nikola Jokić,0.447,2018-19
James Harden,0.955,James Harden,0.722,James Harden,0.512,James Harden,0.623,James Harden,0.73,James Harden,0.787,James Harden,0.786,2017-18
LeBron James,0.731,LeBron James,0.584,LeBron James,0.459,LeBron James,0.527,LeBron James,0.515,LeBron James,0.479,LeBron James,0.462,2017-18
Anthony Davis,0.441,Russell Westbrook,0.296,Anthony Davis,0.302,Anthony Davis,0.272,Kevin Durant,0.208,Anthony Davis,0.212,Russell Westbrook,0.256,2017-18
Russell Westbrook,0.879,James Harden,0.571,Russell Westbrook,0.536,James Harden,0.592,James Harden,0.602,Russell Westbrook,0.634,Russell Westbrook,0.59,2016-17
James Harden,0.746,LeBron James,0.508,James Harden,0.479,Russell Westbrook,0.546,Kawhi Leonard,0.504,James Harden,0.575,James Harden,0.547,2016-17
Kawhi Leonard,0.495,Russell Westbrook,0.47,LeBron James,0.372,LeBron James,0.466,Russell Westbrook,0.5,Kawhi Leonard,0.526,Kevin Durant,0.378,2016-17
Stephen Curry,1.0,Stephen Curry,0.624,Stephen Curry,0.587,Stephen Curry,0.716,Stephen Curry,0.809,Stephen Curry,1.0,Stephen Curry,1.066,2015-16
Kawhi Leonard,0.484,LeBron James,0.588,Kevin Durant,0.43,Kevin Durant,0.513,Kevin Durant,0.699,Kevin Durant,0.692,LeBron James,0.75,2015-16
LeBron James,0.482,Kevin Durant,0.573,LeBron James,0.403,LeBron James,0.472,LeBron James,0.645,LeBron James,0.671,Kevin Durant,0.727,2015-16
Stephen Curry,0.922,Stephen Curry,0.527,Stephen Curry,0.425,James Harden,0.5,Stephen Curry,0.604,Stephen Curry,0.647,Stephen Curry,0.569,2014-15
James Harden,0.72,James Harden,0.505,James Harden,0.404,Stephen Curry,0.436,James Harden,0.558,James Harden,0.556,Anthony Davis,0.532,2014-15
LeBron James,0.425,Chris Paul,0.301,Anthony Davis,0.313,Anthony Davis,0.339,Anthony Davis,0.375,Anthony Davis,0.422,James Harden,0.503,2014-15
Kevin Durant,0.986,Kevin Durant,0.819,Kevin Durant,0.544,Kevin Durant,0.743,Kevin Durant,0.816,Kevin Durant,0.902,Kevin Durant,0.88,2013-14
LeBron James,0.713,LeBron James,0.577,LeBron James,0.435,LeBron James,0.584,LeBron James,0.489,LeBron James,0.457,LeBron James,0.644,2013-14
Blake Griffin,0.347,Stephen Curry,0.346,Stephen Curry,0.262,Stephen Curry,0.265,Stephen Curry,0.235,Chris Paul,0.229,Chris Paul,0.232,2013-14
LeBron James,0.998,LeBron James,0.903,LeBron James,0.596,LeBron James,0.785,LeBron James,0.819,Kevin Durant,0.9,LeBron James,0.943,2012-13
Kevin Durant,0.632,Kevin Durant,0.725,Kevin Durant,0.488,Kevin Durant,0.676,Kevin Durant,0.731,LeBron James,0.874,Kevin Durant,0.789,2012-13
Carmelo Anthony,0.393,Russell Westbrook,0.236,Chris Paul,0.263,Chris Paul,0.269,James Harden,0.205,Chris Paul,0.215,Russell Westbrook,0.205,2012-13
LeBron James,0.888,LeBron James,0.581,LeBron James,0.466,LeBron James,0.454,LeBron James,0.679,LeBron James,0.518,LeBron James,0.494,2011-12
Kevin Durant,0.735,Kevin Durant,0.23,Kevin Durant,0.332,Kevin Durant,0.196,Kevin Durant,0.243,Kevin Durant,0.179,Kevin Durant,0.232,2011-12
Chris Paul,0.318,Dwight Howard,0.172,Chris Paul,0.218,Chris Paul,0.165,Chris Paul,0.165,Chris Paul,0.131,Derrick Rose,0.143,2011-12
Derrick Rose,0.977,LeBron James,0.616,LeBron James,0.421,LeBron James,0.548,LeBron James,0.661,LeBron James,0.658,LeBron James,0.679,2010-11
Dwight Howard,0.531,Derrick Rose,0.292,Dwyane Wade,0.3,Dwight Howard,0.275,Dwyane Wade,0.513,Derrick Rose,0.55,Derrick Rose,0.531,2010-11
LeBron James,0.431,Kobe Bryant,0.284,Derrick Rose,0.297,Dwyane Wade,0.25,Derrick Rose,0.513,Dwyane Wade,0.492,Dwyane Wade,0.415,2010-11
LeBron James,0.98,LeBron James,0.856,LeBron James,0.602,LeBron James,0.787,LeBron James,0.812,LeBron James,1.041,LeBron James,0.991,2009-10
Kevin Durant,0.495,Kevin Durant,0.46,Dwyane Wade,0.337,Kevin Durant,0.488,Dwyane Wade,0.362,Dwyane Wade,0.35,Dwight Howard,0.439,2009-10
Kobe Bryant,0.487,Steve Nash,0.455,Kevin Durant,0.319,Dwyane Wade,0.34,Dwight Howard,0.359,Kevin Durant,0.322,Kevin Durant,0.324,2009-10
LeBron James,0.969,LeBron James,0.905,LeBron James,0.664,LeBron James,0.794,LeBron James,0.84,LeBron James,1.004,LeBron James,1.005,2008-09
Kobe Bryant,0.577,Chris Paul,0.556,Chris Paul,0.455,Chris Paul,0.574,Chris Paul,0.681,Chris Paul,0.646,Chris Paul,0.744,2008-09
Dwyane Wade,0.562,Kobe Bryant,0.38,Dwyane Wade,0.436,Dwyane Wade,0.451,Dwyane Wade,0.581,Dwyane Wade,0.496,Dwyane Wade,0.583,2008-09
Kobe Bryant,0.873,LeBron James,0.516,LeBron James,0.438,LeBron James,0.594,LeBron James,0.453,LeBron James,0.583,LeBron James,0.497,2007-08
Chris Paul,0.71,Steve Nash,0.433,Chris Paul,0.413,Chris Paul,0.308,Chris Paul,0.291,Chris Paul,0.457,Chris Paul,0.419,2007-08
Kevin Garnett,0.532,Kobe Bryant,0.349,Kevin Garnett,0.281,Kobe Bryant,0.302,Kobe Bryant,0.275,Kobe Bryant,0.402,Kobe Bryant,0.366,2007-08
Dirk Nowitzki,0.882,Dirk Nowitzki,0.395,Dirk Nowitzki,0.395,Steve Nash,0.479,Steve Nash,0.605,Steve Nash,0.658,Dirk Nowitzki,0.577,2006-07
Steve Nash,0.785,Tim Duncan,0.368,LeBron James,0.321,Kobe Bryant,0.38,Dirk Nowitzki,0.39,Dirk Nowitzki,0.601,Steve Nash,0.535,2006-07
Kobe Bryant,0.404,Kobe Bryant,0.312,Tim Duncan,0.317,LeBron James,0.36,LeBron James,0.387,LeBron James,0.364,Tim Duncan,0.406,2006-07
Steve Nash,0.739,Kobe Bryant,0.565,LeBron James,0.474,LeBron James,0.559,Dirk Nowitzki,0.591,Dirk Nowitzki,0.681,Dirk Nowitzki,0.63,2005-06
LeBron James,0.55,LeBron James,0.552,Dirk Nowitzki,0.407,Kobe Bryant,0.525,LeBron James,0.504,LeBron James,0.554,LeBron James,0.469,2005-06
Dirk Nowitzki,0.435,Dirk Nowitzki,0.518,Kobe Bryant,0.382,Dirk Nowitzki,0.523,Kobe Bryant,0.492,Kobe Bryant,0.5,Kobe Bryant,0.448,2005-06
Steve Nash,0.839,Kevin Garnett,0.506,Kevin Garnett,0.391,Kevin Garnett,0.485,Kevin Garnett,0.304,Kevin Garnett,0.453,Kevin Garnett,0.386,2004-05
Shaquille O'Neal,0.813,Dirk Nowitzki,0.325,Dirk Nowitzki,0.344,Dirk Nowitzki,0.287,Dirk Nowitzki,0.221,Steve Nash,0.29,Dirk Nowitzki,0.23,2004-05
Dirk Nowitzki,0.275,Shaquille O'Neal,0.265,Amar'e Stoudemire,0.279,Amar'e Stoudemire,0.25,Steve Nash,0.215,Tracy McGrady,0.193,Amar'e Stoudemire,0.178,2004-05
Kevin Garnett,0.991,Kevin Garnett,0.635,Kevin Garnett,0.515,Kevin Garnett,0.55,Kevin Garnett,0.661,Kevin Garnett,0.809,Kevin Garnett,0.753,2003-04
Tim Duncan,0.582,Tim Duncan,0.396,Tim Duncan,0.341,Tim Duncan,0.309,Tim Duncan,0.353,Tim Duncan,0.396,Tim Duncan,0.317,2003-04
Jermaine O'Neal,0.425,Jason Kidd,0.238,Shaquille O'Neal,0.197,Jason Kidd,0.158,Sam Cassell,0.129,Jason Kidd,0.264,Shaquille O'Neal,0.068,2003-04
